,precision,recall,f1-score,support
No CVD,0.6767768220914441,0.8537978298115363,0.7550505050505051,10506.0
CVD,0.801704105344694,0.5917667238421955,0.680921052631579,10494.0
accuracy,0.7228571428571429,0.7228571428571429,0.7228571428571429,0.7228571428571429
macro avg,0.7392404637180691,0.7227822768268659,0.717985778841042,21000.0
weighted avg,0.7392047702085682,0.7228571428571429,0.7180069586845903,21000.0
